Session,Day,Turnover,Player_Name,Drill,Duration,Relative_distance,Z4_relative_distance,Z5_relative_distance,Z6_relative_distance,Relative_HSD,Relative_sprint_distance,Relative_accelerations,Relative_decelerations,Max_speed
1,MD-4,6,Zada,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,398,75,5,0,1.75,0,1.67,1.33,22.58
1,MD-4,6,Zada,Tactical 11vs11 (68*78m),4.7,602,149,42,1,9.21,53,3.0,1.93,26.02
1,MD-4,6,Zada,Tactical 11vs11 (68*78m),4.5,531,66,54,13,14.82,69,1.1,1.76,28.29
1,MD-4,6,Kasa,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,481,146,0,0,0.0,0,1.55,0.44,19.0
1,MD-4,6,Kasa,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.7,505,108,19,0,4.12,22,1.7,0.85,24.45
1,MD-4,6,Kasa,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,487,125,13,0,2.94,19,1.55,0.44,22.23
1,MD-4,6,Kasa,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,476,101,15,0,4.96,17,1.67,0.67,22.7
1,MD-4,6,Kasa,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,425,36,0,0,0.0,0,1.0,1.67,18.69
1,MD-4,6,Kasa,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,425,47,7,0,2.27,10,1.67,2.33,21.31
1,MD-4,6,Kasa,"Possession Game 10vs10+2J (40*60m), 15 Passes Goal",3.0,397,37,0,0,0.0,0,1.0,1.67,18.76
1,MD-4,6,Kasa,Tactical 11vs11 (68*78m),4.7,592,82,18,1,4.12,18,0.86,1.28,25.92
1,MD-4,6,Kasa,Tactical 11vs11 (68*78m),4.5,618,160,33,10,9.34,45,0.22,1.1,27.44
1,MD-4,6,Zoabi,"Passing Drill, Tactical, 3 Structures, 3 Mini Goals",4.5,331,23,10,0,2.26,14,0.89,0.44,23.07
